sample;Плотность 20, кг/м3;Плотность 50, кг/м3;Вязкость кин. 20, мм2/с;Вязкость кин. 50, мм2/с;Вязкость дин. 20, Мпа*с;Вязкость дин. 50, Мпа*с;Асфальтены;Бензоловые смолы;Спирт-бензоловые смолы;Масла;Бензоловые смолы;Спирт-бензоловые смолы;Плотность 20, кг/м3 вых.;Плотность 50, кг/м3 вых.;Вязкость кин. 20, мм2/с вых.;Вязкость кин. 50, мм2/с вых.;Вязкость дин. 20, Мпа*с вых.;Вязкость дин. 50, Мпа*с вых.;Асфальтены вых.;Бензоловые смолы вых.;Спирт-бензоловые смолы вых.;Масла вых.
1;917.60;897.60;326.27;47.24;299.39;42.40;1.08;4.37;3.45;89.74;0.00;0.00;917.60;897.60;326.27;47.24;299.39;42.40;1.08;4.37;3.45;89.74
1;917.60;897.60;326.27;47.24;299.39;42.40;1.08;4.37;3.45;89.74;0.01;0.00;920.10;900.20;492.70;55.14;453.40;49.64;0.94;3.84;3.61;89.84
1;917.60;897.60;326.27;47.24;299.39;42.40;1.08;4.37;3.45;89.74;0.02;0.00;920.90;901.00;418.82;53.15;385.68;50.59;0.85;4.10;3.33;90.03
1;917.60;897.60;326.27;47.24;299.39;42.40;1.08;4.37;3.45;89.74;0.03;0.00;920.20;899.90;574.62;55.57;528.77;50.02;1.63;6.07;6.79;84.14
1;917.60;897.60;326.27;47.24;299.39;42.40;1.08;4.37;3.45;89.74;0.04;0.00;919.50;899.40;377.30;51.63;346.91;46.44;1.72;4.72;6.26;85.63
1;917.60;897.60;326.27;47.24;299.39;42.40;1.08;4.37;3.45;89.74;0.05;0.00;919.50;899.50;354.98;50.48;326.41;45.40;1.27;4.87;6.00;86.22
1;917.60;897.60;326.27;47.24;299.39;42.40;1.08;4.37;3.45;89.74;0.00;0.01;918.50;897.70;937.00;57.45;860.63;51.57;1.15;4.60;3.62;88.52
1;917.60;897.60;326.27;47.24;299.39;42.40;1.08;4.37;3.45;89.74;0.00;0.02;919.10;898.90;567.71;49.72;521.78;44.70;1.42;6.29;5.15;85.97
1;917.60;897.60;326.27;47.24;299.39;42.40;1.08;4.37;3.45;89.74;0.00;0.03;919.40;898.30;361.07;51.50;331.97;46.26;1.52;3.08;6.26;88.00
1;917.60;897.60;326.27;47.24;299.39;42.40;1.08;4.37;3.45;89.74;0.00;0.04;918.50;898.80;420.20;43.42;385.94;39.03;1.35;4.86;6.72;85.81
1;917.60;897.60;326.27;47.24;299.39;42.40;1.08;4.37;3.45;89.74;0.00;0.05;919.10;899.00;347.69;49.47;319.55;44.47;1.40;6.24;5.40;85.86
1;917.60;897.60;326.27;47.24;299.39;42.40;1.08;4.37;3.45;89.74;0.005;0.005;922.60;902.60;537.40;66.10;495.54;59.66;1.13;3.75;4.47;89.87
1;917.60;897.60;326.27;47.24;299.39;42.40;1.08;4.37;3.45;89.74;0.01;0.01;920.90;901.00;443.31;56.59;408.23;50.99;0.75;3.83;3.80;89.76
1;917.60;897.60;326.27;47.24;299.39;42.40;1.08;4.37;3.45;89.74;0.015;0.015;922.80;902.70;558.69;66.30;515.59;59.85;1.19;3.93;4.86;88.95
1;917.60;897.60;326.27;47.24;299.39;42.40;1.08;4.37;3.45;89.74;0.02;0.02;923.50;903.50;645.25;69.61;585.89;62.89;0.78;2.97;4.35;90.62
1;917.60;897.60;326.27;47.24;299.39;42.40;1.08;4.37;3.45;89.74;0.03;0.03;922.60;902.90;548.57;66.50;506.13;60.04;1.42;4.28;4.81;87.03
1;917.60;897.60;326.27;47.24;299.39;42.40;1.08;4.37;3.45;89.74;0.04;0.04;922.90;902.80;661.17;66.90;610.20;60.39;1.42;3.48;4.64;88.60
1;917.60;897.60;326.27;47.24;299.39;42.40;1.08;4.37;3.45;89.74;0.05;0.05;922.80;903.00;410.33;54.86;378.67;49.54;1.52;3.70;5.50;87.76
1;917.60;897.60;326.27;47.24;299.39;42.40;1.08;4.37;3.45;89.74;0.01;0.02;921.40;901.30;924.94;57.72;852.21;52.03;0.81;3.63;3.33;90.58
1;917.60;897.60;326.27;47.24;299.39;42.40;1.08;4.37;3.45;89.74;0.02;0.04;923.40;903.10;659.25;68.38;608.73;61.75;0.87;3.27;4.78;89.30
1;917.60;897.60;326.27;47.24;299.39;42.40;1.08;4.37;3.45;89.74;0.03;0.06;923.00;902.90;515.60;67.55;475.89;61.00;1.52;3.70;4.11;88.98
1;917.60;897.60;326.27;47.24;299.39;42.40;1.08;4.37;3.45;89.74;0.04;0.08;922.50;902.70;497.12;66.46;458.61;60.00;1.20;3.65;4.76;89.05
1;917.60;897.60;326.27;47.24;299.39;42.40;1.08;4.37;3.45;89.74;0.05;0.10;922.80;902.60;573.28;65.97;529.02;59.55;1.06;3.58;4.23;89.37
1;917.60;897.60;326.27;47.24;299.39;42.40;1.08;4.37;3.45;89.74;0.02;0.01;920.90;901.10;437.38;56.75;402.80;51.14;0.85;3.74;4.15;90.02
1;917.60;897.60;326.27;47.24;299.39;42.40;1.08;4.37;3.45;89.74;0.01;0.04;921.00;900.90;875.03;55.77;805.88;50.24;0.95;3.85;3.77;89.42
2;966.20;944.50;2506.50;446.82;2421.90;424.01;14.56;9.57;15.52;58.78;0;0;966.20;944.50;2506.50;446.82;2421.90;424.01;14.56;9.57;15.52;58.78
2;966.20;944.50;2506.50;446.82;2421.90;424.01;14.56;9.57;15.52;58.78;0.01;0.00;971.80;949.90;3254.10;316.12;3162.30;300.30;8.65;7.87;11.91;69.78
2;966.20;944.50;2506.50;446.82;2421.90;424.01;14.56;9.57;15.52;58.78;0.03;0.00;962.90;951.90;4757.60;423.56;4581.00;403.18;13.98;8.57;12.74;63.58
2;966.20;944.50;2506.50;446.82;2421.90;424.01;14.56;9.57;15.52;58.78;0.05;0.00;976.70;957.30;5141.50;432.96;5021.60;414.19;12.55;11.31;12.69;62.24
2;966.20;944.50;2506.50;446.82;2421.90;424.01;14.56;9.57;15.52;58.78;0.00;0.01;975.70;956.40;2734.50;291.86;2668.20;279.14;10.37;7.55;15.03;65.36
2;966.20;944.50;2506.50;446.82;2421.90;424.01;14.56;9.57;15.52;58.78;0.00;0.03;975.70;956.10;4082.10;367.46;3982.90;351.33;10.13;6.94;15.63;65.97
2;966.20;944.50;2506.50;446.82;2421.90;424.01;14.56;9.57;15.52;58.78;0.00;0.05;975.60;956.20;3455.00;334.21;3370.80;319.57;10.41;7.18;16.04;64.76
2;966.20;944.50;2506.50;446.82;2421.90;424.01;14.56;9.57;15.52;58.78;0.01;0.01;975.00;955.30;3987.00;372.53;3887.30;355.87;11.12;8.31;14.77;63.99
2;966.20;944.50;2506.50;446.82;2421.90;424.01;14.56;9.57;15.52;58.78;0.03;0.03;975.40;955.90;3455.30;332.04;3370.30;317.41;10.97;10.72;15.55;61.38
2;966.20;944.50;2506.50;446.82;2421.90;424.01;14.56;9.57;15.52;58.78;0.05;0.05;976.00;956.40;4494.90;402.53;4386.90;384.97;12.06;7.38;14.54;64.39
2;966.20;944.50;2506.50;446.82;2421.90;424.01;14.56;9.57;15.52;58.78;0.01;0.02;972.00;951.40;4354.20;392.88;4232.40;373.78;11.39;8.95;14.71;63.93
2;966.20;944.50;2506.50;446.82;2421.90;424.01;14.56;9.57;15.52;58.78;0.03;0.06;975.80;956.50;3733.30;352.35;3642.80;337.02;10.42;6.75;15.52;65.75
2;966.20;944.50;2506.50;446.82;2421.90;424.01;14.56;9.57;15.52;58.78;0.05;0.10;974.70;955.30;3270.40;319.38;3187.60;305.10;10.70;6.75;18.86;62.40
